Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,900.789978,915.559998,892.219971,910.710022,899.270691,23300
2018-12-11,922.969971,926.500000,890.770020,890.770020,879.581055,50100
2018-12-12,899.880005,927.739990,895.270020,920.030029,908.473572,43000
2018-12-13,925.250000,927.340027,907.299988,911.010010,899.566833,27700
2018-12-14,901.700012,902.609985,875.450012,878.190002,867.158936,34400
2018-12-17,878.000000,889.950012,859.539978,865.590027,854.717468,44700
2018-12-18,861.380005,900.000000,861.380005,881.159973,870.091614,62700
2018-12-19,884.179993,921.280029,884.179993,887.190002,876.046021,67600
2018-12-20,883.280029,887.289978,849.400024,855.000000,844.260437,44200
2018-12-21,856.729980,860.000000,814.320007,824.349976,813.995361,150000
2018-12-24,816.190002,837.390015,815.820007,836.440002,825.933472,29400
2018-12-27,859.679993,887.770020,848.849976,883.940002,872.836914,51700
2018-12-28,902.989990,902.989990,858.140015,864.000000,853.147339,33400
2018-12-31,871.700012,875.700012,859.140015,873.859985,862.883423,16400
2019-01-02,864.919983,873.010010,841.030029,850.710022,840.024292,43900
2019-01-03,848.989990,848.989990,824.809998,825.479980,815.111206,48500
2019-01-04,838.299988,853.090027,832.070007,842.669983,832.085266,36200
2019-01-07,851.080017,884.969971,839.580017,880.710022,869.647583,58000
2019-01-08,885.840027,903.549988,885.830017,889.349976,878.178894,42300
2019-01-09,896.760010,919.479980,894.080017,916.409973,904.898987,30700
2019-01-10,907.760010,918.440002,899.270020,911.030029,899.586670,33700
2019-01-11,909.950012,928.000000,898.219971,910.039978,898.608948,27400
2019-01-14,905.979980,922.479980,898.000000,915.789978,904.286804,21700
2019-01-15,918.770020,930.109985,916.419983,924.049988,912.443054,24900
2019-01-16,926.289978,926.729980,911.780029,918.369995,906.834534,32200
2019-01-17,918.780029,932.469971,915.719971,921.859985,910.280518,12100
2019-01-18,925.000000,947.760010,925.000000,940.979980,929.160278,27900
2019-01-21,941.049988,941.049988,912.000000,918.000000,906.468994,9800
2019-01-22,917.890015,933.549988,910.000000,927.989990,916.333557,30500
2019-01-23,928.789978,956.169983,926.669983,956.169983,944.159607,41400
2019-01-24,957.049988,963.390015,944.510010,961.359985,949.284485,47000
